codec_id,codec_family,items,roundtrip_failures,original_bytes,compressed_bytes,compressed_percent,savings_percent,compression_mbps,decompression_mbps,compression_cpu_mbps,decompression_cpu_mbps,compression_peak_rss_bytes,decompression_peak_rss_bytes,expanded_items,selector_time_percent,total_ms_at_10mbps,total_ms_at_100mbps,total_ms_at_1000mbps,pareto
7zip-9,7-Zip,3,0,203578132,5574110,2.7380691360307794,97.26193086396921,6.441552136716469,164.58107221592675,5.157243460380421,321.06165538161184,786415616,76922880,0,0.0,37300.129583,33286.770383,32885.434463,True
brotli-11,Brotli,3,0,203578132,4301558,2.1129764566264906,97.8870235433735,0.3694671366654364,253.85521486479848,0.3744024951339126,1032.5005479155072,195887104,26443776,0,0.0,555247.9009,552150.77914,551841.066964,True
bz2-9,BWT,3,0,203578132,5379654,2.642550035776927,97.35744996422308,1.371566034207424,25.26451497092238,1.447862719734013,28.244648236580165,109166592,174948352,0,0.0,160789.10195,156915.75107,156528.415982,False
gzip-9,DEFLATE,3,0,203578132,8272033,4.063321005421152,95.93667899457886,49.19213613307975,288.08380799684716,54.30689304794433,1223.389513536252,103989248,175505408,0,0.0,11462.71765,5506.85389,4911.267514,False
jls2,Compression Lab JSON logs,3,0,203578132,3523721,1.730893669856446,98.26910633014356,109.90219233801464,116.42833292379348,46.93239463526952,148.25003339024386,436781056,195379200,0,0.0,6419.861549,3882.782429,3629.074517,True
lz4-1,LZ4,3,0,203578132,14061683,6.907265953299935,93.09273404670006,387.73445072070564,278.96454596255694,777.9510968452572,739.5284500582006,26427392,26574848,0,0.0,12504.15511,2379.74335,1367.302174,True
lzma-9,LZMA2,3,0,203578132,5572968,2.737508172046691,97.26249182795331,1.5926403516873013,82.28592513954355,1.6544985409713246,107.30146411603296,780025856,238747648,0,0.0,134756.704025,130744.167065,130342.913369,False
store,Store,3,0,203578132,203578132,100.0,0.0,416.0830129812531,479.02855036357283,1992.1336907568543,2353.4772355634877,27246592,27246592,0,0.0,163776.759683,17200.504643,2542.879139,True
zstd-19,Zstandard,3,0,203578132,4900286,2.4070787720952267,97.59292122790477,1.051516910958496,268.8349628636772,1.0783280691450259,1186.442639514897,256000000,171065344,0,0.0,198281.729051,194753.523131,194400.702539,True
zstd-3,Zstandard,3,0,203578132,7538545,3.7030229749824013,96.2969770250176,313.5963579578674,248.6188056289148,681.2005028616189,936.7839134568275,245071872,172310528,0,0.0,7498.844918,2071.092518,1528.317278,True
zstd-9,Zstandard,3,0,203578132,5684983,2.792531272464962,97.20746872753504,124.70022850917076,300.4841799834215,151.83129403095722,1244.905373084252,254066688,171376640,0,0.0,6858.026901,2764.839141,2355.520365,True
