corpus,codec,original_bytes,transformed_bytes,encoded_bytes,encoded_percent,seconds,mbps,record_count,referenced_records,raw_records,residual_bytes,zero_bytes,window_size
existing-json-log-smoke,gzip-9,4194304,568330,261128,6.225776672363281,0.9326038329745643,4.497412354206348,29309,29298,11,449584,4009355,8
existing-json-log-smoke,lzma-9,4194304,568330,33672,0.8028030395507812,17.05279970902484,0.24595984656878672,29309,29298,11,449584,4009355,8
existing-json-log-smoke,zstd-3,4194304,568330,107298,2.5581836700439453,0.009834790951572359,426.47617225960727,29309,29298,11,449584,4009355,8
existing-json-log-smoke,zstd-9,4194304,568330,65960,1.5726089477539062,0.12513812503311783,33.51739526934718,29309,29298,11,449584,4009355,8
existing-json-log-smoke,lwx1+zstd-3,4194304,568330,9977,0.2378702163696289,0.002680917037650943,1564.5034669461866,29309,29298,11,449584,4009355,8
existing-json-log-smoke,lwx1+zstd-9,4194304,568330,8341,0.19886493682861328,0.0031734590302221477,1321.6821014722195,29309,29298,11,449584,4009355,8
existing-json-log-smoke,brotli-11,4194304,568330,43815,1.044631004333496,56.01305083296029,0.0748808346916877,29309,29298,11,449584,4009355,8
access-jsonl,gzip-9,4194304,590328,321087,7.65531063079834,0.40802091697696596,10.279629855929128,22720,22709,11,497505,3931704,8
access-jsonl,lzma-9,4194304,590328,163344,3.8944244384765625,18.581819667015225,0.22572084301546372,22720,22709,11,497505,3931704,8
access-jsonl,zstd-3,4194304,590328,352833,8.41219425201416,0.0363425420364365,115.41030882745771,22720,22709,11,497505,3931704,8
access-jsonl,zstd-9,4194304,590328,286166,6.822729110717773,0.2636433750158176,15.909005867294628,22720,22709,11,497505,3931704,8
access-jsonl,lwx1+zstd-3,4194304,590328,169706,4.046106338500977,0.005884625017642975,712.7563757121069,22720,22709,11,497505,3931704,8
access-jsonl,lwx1+zstd-9,4194304,590328,143644,3.4247398376464844,0.049407250015065074,84.89248032871873,22720,22709,11,497505,3931704,8
access-jsonl,brotli-11,4194304,590328,146326,3.4886837005615234,61.676390292006545,0.06800501748143965,22720,22709,11,497505,3931704,8
event-jsonl,gzip-9,4194304,687602,376508,8.97665023803711,0.3618297089706175,11.591928180614378,39694,39691,3,568227,3983281,8
event-jsonl,lzma-9,4194304,687602,119320,2.8448104858398438,21.92349637503503,0.19131546940551805,39694,39691,3,568227,3983281,8
event-jsonl,zstd-3,4194304,687602,341463,8.141112327575684,0.019218208035454154,218.24636262976549,39694,39691,3,568227,3983281,8
event-jsonl,zstd-9,4194304,687602,311644,7.430171966552734,0.09547329199267551,43.93169977130125,39694,39691,3,568227,3983281,8
event-jsonl,lwx1+zstd-3,4194304,687602,105819,2.522921562194824,0.006567500007804483,638.645450325954,39694,39691,3,568227,3983281,8
event-jsonl,lwx1+zstd-9,4194304,687602,81058,1.9325733184814453,0.027895833016373217,150.35593300039434,39694,39691,3,568227,3983281,8
event-jsonl,brotli-11,4194304,687602,164254,3.9161205291748047,15.851077916042414,0.2646068628402279,39694,39691,3,568227,3983281,8
