codec,compression_mbps,compression_samples,compression_seconds,decompression_mbps,decompression_samples,decompression_seconds,direct_frame_bytes,direct_payload_bytes,encoded_bytes,encoded_percent,family,frame_overhead_bytes,no_expansion_vs_direct_frame,original_bytes,selected_bytes,selected_mode,transformed_bytes,transformed_frame_bytes,transformed_payload_bytes,zstd_level
zstd-3,533.6315463975264,"[0.01807774999178946, 0.01526891702087596, 0.016842832963448018]",0.016842832963448018,1769.062119410157,"[0.006875291001051664, 0.004838833003304899, 0.005080583039671183]",0.005080583039671183,,,321730,3.579603481003891,apache,,,8987867,,,,,,
zstd-9,99.59365784422805,"[0.08636270801071078, 0.0902453750022687, 0.13131916604470462]",0.0902453750022687,1721.8136042297492,"[0.004548166994936764, 0.00562533299671486, 0.005219999991822988]",0.005219999991822988,,,243342,2.707449943351409,apache,,,8987867,,,,,,
clg1,35.59249984828115,"[0.18953020800836384, 0.2525213749613613, 0.4725510409916751]",0.2525213749613613,315.46014158070227,"[0.015265208028722554, 0.05582037498243153, 0.028491291974205524]",0.028491291974205524,243398,243342,202364,2.2515241936713126,apache,56,True,8987867,202364,transformed,734901,202364,202308,9
brotli-11,0.09313905460890055,[96.49944416701328],96.49944416701328,8987866999.999998,[],0.0,,,189311,2.1062950753499132,apache,,,8987867,,,,,,
zstd-3,139.1845233306439,"[0.45112770795822144, 0.22825362504227087, 0.1790531249716878]",0.22825362504227087,505.8370886747419,"[0.06280554097611457, 0.07669991598231718, 0.05713795899646357]",0.06280554097611457,,,1953845,6.1500900930619595,healthapp,,,31769372,,,,,,
zstd-9,24.898585536084592,"[1.0588712919852696, 1.7252814590465277, 1.275950874958653]",1.275950874958653,622.1252837327867,"[0.05106587504269555, 0.06525162496836856, 0.03897179203340784]",0.05106587504269555,,,1363620,4.292247262552121,healthapp,,,31769372,,,,,,
clg1,11.486309402104851,"[1.9846908340114169, 2.765846790978685, 3.501751250005327]",2.765846790978685,88.36941566838254,"[0.3595064170076512, 0.17944212502334267, 0.38303775002714247]",0.3595064170076512,1363676,1363620,1041927,3.279658785826802,healthapp,56,True,31769372,1041927,transformed,4761487,1041927,1041871,9
brotli-11,0.2840033815039012,[111.86265399999684],111.86265399999684,31769372000.0,[],0.0,,,983579,3.0959976168241536,healthapp,,,31769372,,,,,,
zstd-3,1008.1008361256954,"[0.055457083974033594, 0.04259075003210455, 0.04891112499171868]",0.04891112499171868,2084.4475402110406,"[0.024690166988875717, 0.023426792002283037, 0.02365487499628216]",0.02365487499628216,,,1265682,2.566923800765914,hpc,,,49307346,,,,,,
zstd-9,161.4661184403574,"[0.29954733297927305, 0.34008841699687764, 0.3053727090009488]",0.3053727090009488,2951.585703951519,"[0.018067291006445885, 0.016705374990124255, 0.01647908298764378]",0.016705374990124255,,,1113188,2.2576514258139144,hpc,,,49307346,,,,,,
clg1,82.45743293407048,"[0.5979733329731971, 0.5397037909715436, 0.6111319169867784]",0.5979733329731971,589.5701166901046,"[0.08473066700389609, 0.08363270899280906, 0.08029079099651426]",0.08363270899280906,1113244,1113188,469457,0.9521035668802779,hpc,56,True,49307346,469457,transformed,4363211,469457,469401,9
brotli-11,0.24717813816413198,[199.48101545800455],199.48101545800455,49307346000.0,[],0.0,,,902430,1.8302141023773617,hpc,,,49307346,,,,,,
zstd-3,720.6686654686736,"[0.03683254198404029, 0.02949554199585691, 0.03221570898313075]",0.03221570898313075,2010.7481357380789,"[0.012334915983956307, 0.011546374997124076, 0.01130508299684152]",0.011546374997124076,,,1041563,4.486236979931646,mac,,,23216852,,,,,,
zstd-9,78.28780494809425,"[0.31038949999492615, 0.29655770800309256, 0.2900166669860482]",0.29655770800309256,550.8895964658924,"[0.026356375019531697, 0.04654004197800532, 0.042144291976001114]",0.042144291976001114,,,798518,3.4393896295673505,mac,,,23216852,,,,,,
clg1,24.567407362505882,"[1.0832728339591995, 0.9450265409541316, 0.7292456669965759]",0.9450265409541316,411.3667212261229,"[0.05519612500211224, 0.05729020800208673, 0.05643833300564438]",0.05643833300564438,798574,798518,798574,3.439630833672024,mac,56,True,23216852,798574,direct,5454228,957433,957377,9
brotli-11,0.33913812123598835,[68.45839658303885],68.45839658303885,23216852000.0,[],0.0,,,584191,2.5162369127390742,mac,,,23216852,,,,,,
zstd-3,327.63463878776844,"[0.023633917036931962, 0.0345916660153307, 0.03863287501735613]",0.0345916660153307,1280.8363589020996,"[0.008848458994179964, 0.00781325000571087, 0.013424583012238145]",0.008848458994179964,,,369537,3.260593352690819,zookeeper,,,11333428,,,,,,
zstd-9,102.75947321134328,"[0.14369487500516698, 0.08972945797722787, 0.11029083398170769]",0.11029083398170769,2151.5080576659434,"[0.005231250019278377, 0.005413791979663074, 0.005267667002044618]",0.005267667002044618,,,269207,2.375336041310714,zookeeper,,,11333428,,,,,,
clg1,63.06493302650367,"[0.20135770802153274, 0.17971045803278685, 0.14613266597734764]",0.17971045803278685,599.6813701145495,"[0.018312667030841112, 0.018899083021096885, 0.020774584030732512]",0.018899083021096885,269263,269207,136275,1.202416426874552,zookeeper,56,True,11333428,136275,transformed,850775,136275,136219,9
brotli-11,0.3275155131515484,[34.60424787498778],34.60424787498778,11333428000.0,[],0.0,,,219618,1.9377896961095973,zookeeper,,,11333428,,,,,,
