codec_id,codec_family,items,roundtrip_failures,original_bytes,compressed_bytes,compressed_percent,savings_percent,compression_mbps,decompression_mbps,compression_cpu_mbps,decompression_cpu_mbps,compression_peak_rss_bytes,decompression_peak_rss_bytes,expanded_items,selector_time_percent,total_ms_at_10mbps,total_ms_at_100mbps,total_ms_at_1000mbps,pareto
7zip-9,7-Zip,6,0,18635606,1703372,9.14041646941881,90.85958353058119,3.3409104493173896,124.44315419234786,2.0484169111078807,133.5904887525269,150405120,150405120,0,0.0,7090.451807,5864.023967,5741.381183,False
brotli-11,Brotli,6,0,18635606,1755288,9.41900145345421,90.58099854654579,0.42724925312940587,239.35505421482196,0.43482450463047134,263.5199844950364,160301056,160301056,0,0.0,45099.732399,43835.925039,43709.544303,False
bz2-9,BWT,6,0,18635606,1650170,8.854930717037053,91.14506928296294,4.092639244930061,28.064836926913692,4.130384698992371,28.382625207120746,64716800,64716800,0,0.0,6537.600333,5349.477933,5230.665693,True
gzip-9,DEFLATE,6,0,18635606,2298691,12.334940972673493,87.6650590273265,3.6006988041453156,695.14988786946,3.692705919372631,812.2921633812292,49709056,64421888,0,0.0,7041.313424,5386.255904,5220.750152,True
lz4-1,LZ4,6,0,18635606,4920321,26.40279580926963,73.59720419073037,255.90275401868575,311.1647681502134,235.65807980659545,326.29358768942996,26411008,26411008,0,0.0,4068.969632,526.338512,172.0754,True
lzma-9,LZMA2,6,0,18635606,1693160,9.08561814410543,90.91438185589458,0.6913252667929085,50.54698028597338,0.7019195207658814,51.0508597601562,234618880,234618880,0,0.0,28679.557127,27460.481927,27338.574407,True
store,Store,6,0,18635606,18635606,100.0,0.0,1627.1848295248608,2189.075722054335,2420.837360353338,2995.115556913461,27082752,27082752,0,0.0,14928.450469,1510.814149,169.050517,True
tbl1-stream-dense,Compression Lab tabular,6,0,18635606,1697505,9.108933726115481,90.89106627388452,45.51876471732148,278.26347081769603,40.311418914159425,339.35365564964036,124321792,124321792,0,16.519495375379165,1834.379998,612.176398,489.956038,True
zstd-19,Zstandard,6,0,18635606,1802591,9.67283274823475,90.32716725176525,1.8118405839424867,720.1447677706221,1.8600373171278928,829.5026261906881,205832192,205832192,0,0.0,11753.406049,10455.540529,10325.753977,True
zstd-3,Zstandard,6,0,18635606,2795608,15.00143327778018,84.99856672221982,154.89737059229697,542.008447843861,181.573412678578,591.9448126530974,68386816,68386816,0,0.0,2391.178277,378.340517,177.056741,True
zstd-9,Zstandard,6,0,18635606,2307534,12.382393145680371,87.61760685431963,57.316113711127294,595.3035828156154,60.41635457833425,884.7975920994013,89145344,89145344,0,0.0,2202.468866,541.044386,374.901938,True
